,precision,recall,f1-score,support
down_or_flat,0.0,0.0,0.0,393.0
up,0.5148148148148148,1.0,0.6797066014669927,417.0
accuracy,0.5148148148148148,0.5148148148148148,0.5148148148148148,0.5148148148148148
macro avg,0.2574074074074074,0.5,0.33985330073349634,810.0
weighted avg,0.26503429355281205,0.5148148148148148,0.349923028162637,810.0
